account_name,contact_email,created_date,Lead Source,lead_source,Opportunity Amount,opportunity_amount,Is Active,is_active,SFDC ID,sfdc_id,Annual Revenue,annual_revenue,Last Activity,Custom Field,Region,Unnamed: 0,Unnamed: 21,Random Notes,Deal Score,Engagement Level,Num Calls,Time on Page (sec),City,State,Country
Acme Corp,contact@acme.com,2022-12-01,Partner,Referral,50000,0,yes,True,abc123,001C000003,1000K,,Called client,"{""type"": ""B"", ""value"": 200}",,16,,See notes,,0.8991410997621325,,331,chicago,CA,
Globex,help@globex.com,,Web,,,25000,no,True,abc123,,one million,1000000.0,,,N.A.,17,,See notes,100.0,0.0606354866542068,9.0,296,nyc,CA,us
Soylent,,2020-01-01,,Social Media,Ten Thousand,,,,001A000001,BAD_ID,5000000,999999.0,2024-08-22 19:37:11.167705,"{""type"": null}",N.A.,18,,Valid,,,41.0,169,,California,U.S.
Globex,help@globex.com,,Phone Inquiry,Email Campaign,,,False,False,001A000001,001B000002,5000000,1000000.0,42,,N.A.,19,,,100.0,0.2804927020812819,44.0,353,nyc,CA,U.S.
Umbrella,,2020-01-01,,Social Media,1000,,yes,0,abc123,BAD_ID,"$1,000,000",1000000.0,42,"{""type"": ""B"", ""value"": 200}",N.A.,20,,,100.0,0.095621622484592,,360,New York,,U.S.
Umbrella,,2024-08-12,Partner,Referral,Ten Thousand,,True,,XYZ-00001,BAD_ID,1000000.00,,42,"{""type"": ""A"", ""value"": 100}",N.A.,21,,See notes,75.0,,41.0,472,,,USA
Wonka,,2022-12-01,,Trade Show,50000,,no,False,,001B000002,2.5M,1000000.0,42,,United States,22,,See notes,75.0,0.780823237111309,37.0,73,San Francisco,N.Y.,United States
Globex,help@globex.com,2022-12-01,,Email Campaign,50000,,active,1,XYZ-00001,001B000002,1M,1000000.0,42,"{""type"": null}",N.A.,23,,See notes,75.0,0.2903633147599022,1.0,113,New York,NY,us
Soylent,,2020-01-01,Partner,Email Campaign,,,active,1,,BAD_ID,Not Available,,2024-12-18 19:37:11.167726,"{""type"": null}",United States,24,,,10.0,,,21,nyc,IL,us
Globex,help@globex.com,2024-12-27,Partner,Social Media,,0,,,XYZ-00001,,,1000000.0,42,,US,25,,See notes,50.0,0.8940609049208631,8.0,50,,IL,us
Acme Corp,contact@acme.com,2022-12-01,,Social Media,Ten Thousand,,yes,True,XYZ-00001,12345,One Million,1000000.0,Called client,,US,26,,Valid,,0.0530025975252362,43.0,205,,,USA
Soylent,,2023-05-04,Web,Email Campaign,,,True,,abc123,BAD_ID,,999999.0,Called client,,,27,,,,,28.0,107,New York,California,U.S.
Initech,,,Web,,50000,,active,False,,001C000003,two million five hundred thousand,999999.0,42,"{""type"": ""A"", ""value"": 100}",N.A.,28,,Valid,100.0,0.9407276138973484,,203,chicago,N.Y.,us
Soylent,,,,Email Campaign,1000,25000,active,True,001A000001,,5M,999999.0,,,,29,,,100.0,0.9582527093275404,19.0,134,chicago,N.Y.,U.S.
Globex,help@globex.com,2022-12-01,Web,,,0,active,,001A000001,,2.5M,1000000.0,42,"{""type"": ""A"", ""value"": 100}",United States,30,,Valid,75.0,,3.0,442,chicago,IL,
Globex,help@globex.com,,Partner,Trade Show,,,True,0,XYZ-00001,,1000000,999999.0,42,,United States,31,,,100.0,0.0635508382674759,10.0,472,Chicago,,USA
Soylent,,2024-02-20,Phone Inquiry,Social Media,,,True,False,,001B000002,1000000.00,1000000.0,Called client,"{""type"": null}",N.A.,32,,,10.0,0.3863532626759115,,59,,IL,
Globex,help@globex.com,2022-12-01,,Trade Show,,0,yes,0,XYZ-00001,12345,,999999.0,,"{""type"": ""B"", ""value"": 200}",North America,33,,See notes,100.0,,37.0,417,San Francisco,California,United States
Soylent,,2022-12-01,Phone Inquiry,Email Campaign,Ten Thousand,0,active,0,XYZ-00001,12345,5M,,,"{""type"": ""A"", ""value"": 100}",,34,,See notes,50.0,0.9556450791936716,41.0,496,,N.Y.,
Globex,help@globex.com,2025-06-13,Web,Referral,Ten Thousand,,yes,True,001A000001,BAD_ID,"$1,000,000",999999.0,2025-03-08 19:37:11.167756,,,35,,See notes,100.0,0.4717432607899557,32.0,189,San Francisco,California,us
Acme Corp,contact@acme.com,2020-01-01,Web,Social Media,Ten Thousand,25000,no,1,,12345,5000000,,,,,36,,Valid,,,,206,nyc,Illinois,USA
Umbrella,,2024-08-15,Web,Referral,Ten Thousand,,no,0,,,"1,000,000",1000000.0,2024-08-08 19:37:11.167760,,US,37,,,10.0,0.6700288593287657,23.0,492,New York,,USA
Acme Corp,contact@acme.com,2022-12-01,,Email Campaign,50000,25000,False,True,001A000001,BAD_ID,2.5M,999999.0,Called client,,North America,38,,,,0.2340663823886296,24.0,377,Chicago,California,us
Globex,help@globex.com,,,,,Fifty Thousand,True,,XYZ-00001,BAD_ID,"1,000,000",999999.0,42,"{""type"": ""B"", ""value"": 200}",United States,39,,See notes,75.0,,16.0,93,San Francisco,IL,United States
Soylent,,2022-12-01,Phone Inquiry,Referral,,25000,False,True,,12345,2.5M,,2024-05-05,"{""type"": null}",United States,40,,,10.0,0.7763934874579811,,429,,,United States
Acme Corp,contact@acme.com,2025-07-08,Partner,Email Campaign,,25000,True,,001A000001,001B000002,one million,1000000.0,2025-06-30 19:37:11.167770,"{""type"": ""B"", ""value"": 200}",,41,,,75.0,0.6687049635174467,1.0,339,,California,us
Soylent,,2020-01-01,,Social Media,1000,0,active,True,XYZ-00001,,1000000.00,1000000.0,,,United States,42,,Valid,75.0,,48.0,94,New York,CA,us
Soylent,,2020-01-01,,Trade Show,Ten Thousand,,True,,001A000001,001B000002,,,2024-09-08 19:37:11.167774,,N.A.,43,,,10.0,0.4628525173381721,45.0,398,nyc,,us
Acme Corp,contact@acme.com,2023-06-06,Web,Email Campaign,Ten Thousand,,yes,1,,,,1000000.0,42,,North America,44,,,100.0,0.4949605282666564,,450,,California,
Globex,help@globex.com,,,Social Media,50000,25000,yes,1,001A000001,,Not Available,999999.0,Called client,,,45,,,10.0,,5.0,278,San Francisco,N.Y.,USA
Globex,help@globex.com,,,,Ten Thousand,Fifty Thousand,active,0,XYZ-00001,BAD_ID,2500000,999999.0,Called client,"{""type"": ""A"", ""value"": 100}",US,46,,,75.0,0.6484756106425171,20.0,222,,NY,us
Globex,help@globex.com,,Web,,1000,,True,1,XYZ-00001,12345,100000,1000000.0,Called client,"{""type"": ""A"", ""value"": 100}",,47,,See notes,50.0,0.2813745885736209,19.0,452,chicago,Illinois,us
Globex,help@globex.com,2020-01-01,Partner,Social Media,Ten Thousand,,True,False,001A000001,12345,"$5,000,000",999999.0,2024-05-05,"{""type"": null}",US,48,,,25.0,,,376,chicago,CA,United States
Soylent,,2022-12-01,,Trade Show,,,False,True,XYZ-00001,12345,,999999.0,Called client,,,49,,,50.0,0.6822469688621764,50.0,332,nyc,Illinois,USA
Acme Corp,contact@acme.com,2023-08-08,,Email Campaign,50000,,,1,001A000001,,100000,1000000.0,,"{""type"": ""A"", ""value"": 100}",,50,,,75.0,0.6373603910717661,1.0,465,New York,,us
Globex,help@globex.com,2020-01-01,,,1000,25000,no,1,abc123,12345,1000K,,2024-05-05,"{""type"": ""A"", ""value"": 100}",N.A.,51,,Valid,50.0,,13.0,110,,California,U.S.
Globex,help@globex.com,2022-12-01,,Referral,,0,,0,abc123,12345,"$1,000,000",1000000.0,2025-06-06 19:37:11.167794,,United States,52,,Valid,50.0,0.9779479099618632,,74,chicago,California,us
Acme Corp,contact@acme.com,,Web,Trade Show,50000,0,False,True,abc123,001C000003,,1000000.0,2025-05-08 19:37:11.167797,"{""type"": ""A"", ""value"": 100}",,53,,Valid,50.0,0.2280773663571758,13.0,218,Chicago,N.Y.,United States
Globex,help@globex.com,2020-01-01,Phone Inquiry,Social Media,,25000,active,,XYZ-00001,,2.5M,1000000.0,42,"{""type"": null}",United States,54,,,100.0,,38.0,263,nyc,NY,U.S.
Umbrella,,2023-01-07,,Referral,Ten Thousand,25000,False,,XYZ-00001,,5000000,,42,"{""type"": null}",N.A.,55,,Valid,75.0,0.0581814895869864,24.0,158,,CA,U.S.
Globex,help@globex.com,2023-07-25,,,50000,Fifty Thousand,yes,1,,,Not Available,,42,,N.A.,56,,,10.0,0.2425164915580693,,457,New York,N.Y.,U.S.
Acme Corp,contact@acme.com,2020-01-01,Phone Inquiry,,,0,True,False,XYZ-00001,12345,5M,999999.0,42,,N.A.,57,,See notes,50.0,,15.0,177,,IL,United States
Wonka,,2020-01-01,Web,Social Media,Ten Thousand,,,1,,001B000002,,1000000.0,2024-05-05,,,58,,,,0.952599194728411,23.0,350,,IL,
Soylent,,2022-12-01,,Email Campaign,50000,0,,True,001A000001,BAD_ID,Not Available,1000000.0,,,United States,59,,See notes,25.0,0.386085739561833,6.0,396,chicago,N.Y.,us
Umbrella,,2020-01-01,Partner,,50000,25000,True,0,XYZ-00001,001C000003,one million,,Called client,,,60,,,25.0,,,491,San Francisco,,United States
Soylent,,,,Email Campaign,50000,,active,False,abc123,001C000003,"1,000,000",1000000.0,2024-09-28 19:37:11.167814,"{""type"": null}",United States,61,,,75.0,0.6321827972863433,41.0,18,nyc,IL,
Soylent,,2024-04-29,Web,,50000,,False,,001A000001,,"$1,000,000",1000000.0,42,"{""type"": ""A"", ""value"": 100}",North America,62,,See notes,10.0,0.0254772827746345,45.0,477,,IL,United States
Soylent,,2022-12-01,Web,,,,False,True,,001C000003,one million,1000000.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,63,,See notes,10.0,,29.0,416,San Francisco,Illinois,U.S.
Umbrella,,,Partner,Referral,1000,Fifty Thousand,no,1,,,,1000000.0,,"{""type"": ""B"", ""value"": 200}",,64,,See notes,100.0,0.1563102858949157,,357,nyc,N.Y.,us
Umbrella,,,Phone Inquiry,Email Campaign,50000,25000,True,1,001A000001,001C000003,5000000,,42,"{""type"": ""B"", ""value"": 200}",United States,65,,See notes,100.0,0.8420958705773769,39.0,361,San Francisco,California,USA
,,2022-12-01,,Referral,Ten Thousand,0,no,False,abc123,12345,one million,,Called client,,N.A.,66,,Valid,50.0,,16.0,150,San Francisco,IL,United States
Globex,help@globex.com,2024-09-21,Web,Trade Show,Ten Thousand,25000,,True,XYZ-00001,BAD_ID,1000000,999999.0,42,"{""type"": null}",,67,,Valid,10.0,0.4456232194336468,21.0,112,San Francisco,Illinois,us
Globex,help@globex.com,,Partner,Referral,1000,Fifty Thousand,True,0,,001C000003,"$1,000,000",1000000.0,Called client,"{""type"": null}",United States,68,,,25.0,0.4584850706768534,,201,New York,California,us
Soylent,,2025-03-04,Partner,Trade Show,50000,,yes,1,XYZ-00001,001C000003,2500000,1000000.0,2024-08-26 19:37:11.167832,"{""type"": ""B"", ""value"": 200}",North America,69,,,25.0,,18.0,155,nyc,California,U.S.
Umbrella,,2022-12-01,,,1000,,False,,,001B000002,two million five hundred thousand,1000000.0,Called client,,US,70,,,75.0,0.7348385582247391,40.0,62,,,U.S.
Globex,help@globex.com,2020-01-01,Web,Trade Show,Ten Thousand,,True,,XYZ-00001,12345,"1,000,000",,2025-05-25 19:37:11.167837,"{""type"": null}",N.A.,71,,Valid,,0.4881674030535727,6.0,331,,NY,
Globex,help@globex.com,2020-01-01,Partner,,50000,25000,False,False,abc123,BAD_ID,One Million,1000000.0,2025-03-16 19:37:11.167839,"{""type"": null}",US,72,,Valid,,,,490,,IL,us
Umbrella,,2022-12-01,,Trade Show,1000,,no,,abc123,001B000002,2500000,1000000.0,2024-10-21 19:37:11.167841,"{""type"": null}",US,73,,,50.0,0.4178113686510603,14.0,352,Chicago,Illinois,United States
Umbrella,,2022-12-01,Partner,,,,active,False,abc123,001B000002,"$1,000,000",,2024-11-30 19:37:11.167843,"{""type"": ""B"", ""value"": 200}",N.A.,74,,,10.0,0.1077471016981241,0.0,66,nyc,N.Y.,USA
Globex,help@globex.com,,Partner,Social Media,Ten Thousand,0,active,1,,001B000002,"$1,000,000",1000000.0,2025-03-02 19:37:11.167845,"{""type"": ""A"", ""value"": 100}",United States,75,,,,,40.0,71,,CA,U.S.
Soylent,,2024-10-07,Phone Inquiry,Social Media,,Fifty Thousand,no,True,XYZ-00001,001B000002,,1000000.0,2024-05-05,,US,76,,Valid,25.0,0.1581067546016386,,113,New York,NY,
Globex,help@globex.com,2022-12-01,Phone Inquiry,Social Media,,,False,False,XYZ-00001,001B000002,2.5M,999999.0,2024-05-05,"{""type"": null}",,77,,,75.0,0.9994752009623408,0.0,394,Chicago,California,U.S.
Soylent,,2024-09-27,,Social Media,Ten Thousand,25000,True,0,,,,999999.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",N.A.,78,,,50.0,,2.0,378,New York,California,
Acme Corp,contact@acme.com,,,Email Campaign,50000,,True,False,,12345,1M,1000000.0,,"{""type"": ""B"", ""value"": 200}",,79,,See notes,75.0,0.1138027711581948,46.0,145,nyc,Illinois,United States
Globex,help@globex.com,2022-12-01,Partner,Email Campaign,50000,0,True,1,,12345,5000000,999999.0,,"{""type"": ""A"", ""value"": 100}",,80,,Valid,10.0,0.2915007644552758,,10,,N.Y.,U.S.
Acme Corp,contact@acme.com,2024-07-10,Partner,Trade Show,50000,,no,0,,BAD_ID,,999999.0,42,"{""type"": ""B"", ""value"": 200}",US,81,,,100.0,,41.0,223,,California,us
Wonka,,2020-01-01,,Email Campaign,1000,25000,no,False,,BAD_ID,1000000.00,1000000.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",,82,,,25.0,0.0396665047865796,19.0,18,New York,CA,U.S.
Globex,help@globex.com,2020-01-01,Web,Social Media,50000,Fifty Thousand,no,1,001A000001,BAD_ID,5M,999999.0,2024-05-05,,,83,,See notes,,0.7382787974625982,25.0,252,nyc,CA,
Acme Corp,contact@acme.com,2020-01-01,Partner,Social Media,1000,Fifty Thousand,active,1,001A000001,,,1000000.0,Called client,"{""type"": ""A"", ""value"": 100}",North America,84,,Valid,,,,147,New York,California,us
Acme Corp,contact@acme.com,2022-12-01,Partner,Trade Show,1000,,active,True,,001B000002,1M,1000000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,85,,,25.0,0.5442747828776291,40.0,228,Chicago,CA,us
Acme Corp,contact@acme.com,2022-12-01,Web,Email Campaign,Ten Thousand,0,True,1,,001B000002,,,Called client,"{""type"": ""B"", ""value"": 200}",United States,86,,,,0.6748143522105087,39.0,15,nyc,NY,us
Umbrella,,2020-01-01,,,,25000,active,,,,,,,"{""type"": ""A"", ""value"": 100}",United States,87,,,25.0,,1.0,315,chicago,CA,USA
Globex,help@globex.com,2022-12-01,,,50000,,active,,001A000001,001C000003,1M,1000000.0,Called client,"{""type"": ""A"", ""value"": 100}",N.A.,88,,,100.0,0.4823488155411135,,482,Chicago,California,United States
Umbrella,,2025-06-07,,Email Campaign,1000,,True,,,,One Million,1000000.0,42,,US,89,,,100.0,0.4253270562977473,25.0,204,San Francisco,N.Y.,USA
Umbrella,,2022-12-01,Phone Inquiry,Email Campaign,1000,,False,,001A000001,,5000000,1000000.0,42,"{""type"": ""A"", ""value"": 100}",N.A.,90,,,100.0,,24.0,353,Chicago,NY,United States
Globex,help@globex.com,2025-03-03,,Referral,50000,25000,active,False,abc123,BAD_ID,1000000.00,1000000.0,2025-07-18 19:37:11.167881,"{""type"": ""A"", ""value"": 100}",N.A.,91,,,75.0,0.224010725409763,9.0,244,chicago,N.Y.,USA
Globex,help@globex.com,,Partner,Referral,,,,0,XYZ-00001,12345,2500000,1000000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",,92,,,100.0,0.8284863300239481,,171,,NY,U.S.
Soylent,,2020-01-01,Phone Inquiry,Trade Show,Ten Thousand,0,active,,,12345,"$1,000,000",999999.0,42,,,93,,See notes,,,23.0,441,nyc,NY,us
Umbrella,,,,,Ten Thousand,0,False,1,001A000001,001C000003,One Million,,Called client,,North America,94,,See notes,100.0,0.913536702783527,5.0,216,San Francisco,N.Y.,USA
Globex,help@globex.com,2020-01-01,Partner,Trade Show,1000,Fifty Thousand,yes,True,,BAD_ID,"$5,000,000",1000000.0,,"{""type"": ""B"", ""value"": 200}",United States,95,,,10.0,0.3783793554943464,28.0,56,,NY,us
Globex,help@globex.com,2022-12-01,Web,Trade Show,1000,,,1,,001B000002,One Million,999999.0,2025-05-27 19:37:11.167892,"{""type"": null}",,96,,Valid,25.0,,,264,New York,California,USA
Soylent,,,,Social Media,Ten Thousand,,no,False,,001B000002,,1000000.0,,"{""type"": ""A"", ""value"": 100}",US,97,,,100.0,0.1203475114293672,11.0,162,New York,California,us
Globex,help@globex.com,2022-12-01,,Social Media,50000,25000,active,1,abc123,001B000002,5000000,,42,"{""type"": ""A"", ""value"": 100}",,98,,See notes,25.0,0.6337940517363004,34.0,242,,Illinois,USA
Acme Corp,contact@acme.com,2020-01-01,,Email Campaign,1000,25000,False,,,12345,5M,999999.0,2024-05-05,,,99,,,50.0,,50.0,58,Chicago,CA,
Acme Corp,contact@acme.com,2020-01-01,,Email Campaign,,,yes,False,001A000001,001C000003,Not Available,1000000.0,42,,North America,100,,Valid,,0.9778945751021084,,123,,NY,
Acme Corp,contact@acme.com,2022-12-01,,,1000,Fifty Thousand,no,False,,,"$1,000,000",,2025-03-01 19:37:11.167902,"{""type"": ""B"", ""value"": 200}",,101,,,25.0,0.5289187563131367,26.0,225,,,
Soylent,,2024-09-15,,Trade Show,,25000,active,False,,,"$5,000,000",1000000.0,2024-09-28 19:37:11.167905,"{""type"": null}",North America,102,,See notes,,,31.0,117,New York,IL,
Soylent,,2022-12-01,Partner,Referral,,0,False,False,,001B000002,Not Available,1000000.0,,"{""type"": ""A"", ""value"": 100}",US,103,,Valid,100.0,0.1597855827863217,38.0,55,,Illinois,United States
Soylent,,2020-01-01,,Referral,1000,,no,True,abc123,,Not Available,999999.0,42,,United States,104,,,100.0,0.3659220600724313,,59,,CA,United States
Acme Corp,contact@acme.com,2022-12-01,Web,Social Media,Ten Thousand,0,False,False,,,1000000,1000000.0,2025-01-19 19:37:11.167911,"{""type"": ""A"", ""value"": 100}",US,105,,See notes,50.0,,30.0,54,nyc,IL,United States
Umbrella,,,Phone Inquiry,Trade Show,Ten Thousand,Fifty Thousand,,1,XYZ-00001,12345,One Million,1000000.0,42,,North America,106,,,10.0,0.1490745290617204,44.0,232,nyc,Illinois,United States
Globex,help@globex.com,2020-01-01,,Email Campaign,Ten Thousand,,yes,1,XYZ-00001,BAD_ID,5000000,1000000.0,2024-05-05,"{""type"": null}",United States,107,,,,0.1348027366432364,9.0,217,New York,NY,USA
Initech,,2024-01-15,Partner,,50000,,False,True,001A000001,BAD_ID,,,,"{""type"": ""A"", ""value"": 100}",N.A.,108,,,10.0,,,213,San Francisco,,U.S.
Globex,help@globex.com,2024-01-01,,Trade Show,Ten Thousand,0,no,,,BAD_ID,"$5,000,000",,,,North America,109,,,75.0,0.1299003909922177,9.0,108,New York,NY,
Soylent,,2022-12-01,Phone Inquiry,,Ten Thousand,Fifty Thousand,no,False,,12345,1000000.00,1000000.0,42,,North America,110,,,75.0,0.7647313502620555,32.0,444,Chicago,California,
Umbrella,,2025-05-07,Phone Inquiry,Email Campaign,,Fifty Thousand,no,0,XYZ-00001,,One Million,1000000.0,42,,N.A.,111,,,75.0,,20.0,491,Chicago,CA,United States
Umbrella,,2025-05-05,,Social Media,50000,25000,False,True,,001B000002,"$5,000,000",1000000.0,,,US,112,,,10.0,0.5984720691439855,,496,New York,CA,us
Globex,help@globex.com,2022-12-01,Partner,Social Media,50000,,no,True,001A000001,001B000002,One Million,,,"{""type"": ""A"", ""value"": 100}",North America,113,,Valid,50.0,0.2717862530297795,43.0,403,New York,N.Y.,us
Umbrella,,2024-12-23,Partner,Social Media,Ten Thousand,25000,no,0,,12345,2.5M,,,"{""type"": null}",US,114,,See notes,10.0,,27.0,478,New York,California,us
Initech,,2022-12-01,Phone Inquiry,Social Media,Ten Thousand,,yes,1,,12345,5M,1000000.0,2024-10-21 19:37:11.167934,"{""type"": ""B"", ""value"": 200}",N.A.,115,,,100.0,0.935917496744912,4.0,301,chicago,,U.S.
Umbrella,,2025-05-07,Phone Inquiry,,1000,25000,no,False,001A000001,BAD_ID,,1000000.0,Called client,"{""type"": ""B"", ""value"": 200}",N.A.,116,,Valid,75.0,0.6643439411804918,,167,,California,United States
Globex,help@globex.com,2024-09-12,,Email Campaign,1000,0,no,1,001A000001,,,999999.0,,"{""type"": null}",,117,,,10.0,,27.0,155,nyc,California,United States
Acme Corp,contact@acme.com,2025-07-08,Web,Email Campaign,,Fifty Thousand,,0,abc123,001B000002,One Million,1000000.0,,"{""type"": null}",United States,118,,,,0.3624417861739877,14.0,47,nyc,Illinois,
Acme Corp,contact@acme.com,2020-01-01,Phone Inquiry,Trade Show,1000,Fifty Thousand,False,,XYZ-00001,BAD_ID,one million,1000000.0,,"{""type"": ""A"", ""value"": 100}",,119,,See notes,,0.9550213018359888,39.0,189,,California,U.S.
Acme Corp,contact@acme.com,2024-11-20,Phone Inquiry,Social Media,,0,no,0,abc123,001C000003,1000000,,2025-03-28 19:37:11.167964,"{""type"": ""B"", ""value"": 200}",United States,120,,,,,,359,chicago,CA,United States
Globex,help@globex.com,2022-12-01,Partner,Social Media,,,,True,,001C000003,"$1,000,000",1000000.0,2024-05-05,"{""type"": null}",N.A.,121,,Valid,50.0,0.8877918267182953,38.0,292,Chicago,California,
Soylent,,2022-12-01,,Social Media,,0,True,0,,,,,42,"{""type"": ""B"", ""value"": 200}",United States,122,,Valid,10.0,0.3610107263452747,20.0,352,nyc,,
Umbrella,,2022-12-01,,,,,yes,0,XYZ-00001,,One Million,999999.0,42,"{""type"": null}",,123,,See notes,10.0,,35.0,37,,Illinois,U.S.
Umbrella,,,,Trade Show,,Fifty Thousand,active,0,XYZ-00001,001C000003,,1000000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",,124,,,,0.136425888600467,,402,,IL,
Soylent,,2022-12-01,Web,Email Campaign,,25000,True,,,001B000002,2500000,999999.0,42,"{""type"": ""A"", ""value"": 100}",United States,125,,,25.0,0.2082039862300396,5.0,117,chicago,CA,U.S.
Globex,help@globex.com,2022-12-01,,Trade Show,,0,active,False,001A000001,12345,Not Available,999999.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",N.A.,126,,See notes,,,49.0,422,,,us
Acme Corp,contact@acme.com,2025-06-24,,Social Media,50000,Fifty Thousand,True,False,,,Not Available,1000000.0,,"{""type"": ""A"", ""value"": 100}",,127,,,25.0,0.5447141561149177,19.0,70,nyc,N.Y.,us
Umbrella,,2024-12-26,Partner,Trade Show,Ten Thousand,25000,True,0,abc123,BAD_ID,,1000000.0,2025-04-26 19:37:11.167992,"{""type"": ""B"", ""value"": 200}",North America,128,,See notes,10.0,0.8753360755935369,,149,,,USA
Globex,help@globex.com,2024-08-31,,Referral,1000,25000,yes,1,001A000001,12345,One Million,1000000.0,,,North America,129,,,,,48.0,355,Chicago,Illinois,U.S.
Globex,help@globex.com,2022-12-01,Phone Inquiry,Email Campaign,50000,,,False,XYZ-00001,001B000002,One Million,1000000.0,42,"{""type"": ""B"", ""value"": 200}",North America,130,,,75.0,0.0386116664275898,18.0,162,chicago,IL,us
Globex,help@globex.com,2024-03-24,,,,,True,False,001A000001,BAD_ID,1000000,1000000.0,42,"{""type"": null}",N.A.,131,,,75.0,0.6716768525935598,38.0,212,nyc,CA,United States
Acme Corp,contact@acme.com,2024-09-01,,Email Campaign,50000,Fifty Thousand,no,True,,12345,5M,1000000.0,2025-02-28 19:37:11.168002,,,132,,,25.0,,,207,,,USA
Globex,help@globex.com,2022-12-01,,,50000,25000,yes,True,abc123,,"$1,000,000",,42,"{""type"": null}",United States,133,,,10.0,0.2699923847792224,44.0,417,San Francisco,NY,U.S.
Soylent,,2025-05-07,Web,Email Campaign,Ten Thousand,,yes,1,,,,1000000.0,42,,US,134,,,,0.8054666922536998,6.0,239,nyc,N.Y.,us
Umbrella,,2024-06-06,,Trade Show,,,active,False,,001B000002,1000000,1000000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",US,135,,,50.0,,11.0,347,,N.Y.,U.S.
