Account Name,account_name,AccountName,Contact Email,contact_email,Created Date,created_date,Lead Source,lead_source,Opportunity Amount,opportunity_amount,Is Active,is_active,SFDC ID,sfdc_id,Annual Revenue,annual_revenue,Last Activity,Custom Field,Region,Unnamed: 0,,Random Notes,Deal Score,Engagement Level,Num Calls,Time on Page (sec),City,State,Country
,Acme Corp,,invalid@,missing.com,not_a_date,2022/12/01,,Social Media,Ten Thousand,N/A,yes,True,XYZ-00001,12345,One Million,1000000,Called client,N/A,US,26,,Valid,,0.053002597525236284,43.0,205,,,USA
,Soylent,Wonka,invalid@,help@globex.com,,2023-05-04 19:35:42.523212,Web,Email Campaign,,,True,,abc123,BAD_ID,,999999,Called client,,,27,,,,,28.0,107,New York,California,U.S.
Globex,,Initech,contact@acme.com,help@globex.com,,NaT,Web,,50000,N/A,active,False,,001C000003,two million five hundred thousand,999999,42,"{""type"": ""A"", ""value"": 100}",N.A.,28,,Valid,100.0,0.9407276138973484,,203,chicago,N.Y.,us
Initech,Soylent,,invalid@,help@globex.com,not_a_date,NaT,,Email Campaign,1000,25000,active,True,001A000001,,5M,999999,,N/A,,29,,,100.0,0.9582527093275405,19.0,134,chicago,N.Y.,U.S.
Initech,,Globex,noemail,missing.com,01-01-2020,2022/12/01,Web,,,0,active,,001A000001,,2.5M,1000000,42,"{""type"": ""A"", ""value"": 100}",United States,30,,Valid,75.0,,3.0,442,chicago,IL,
Globex,Globex,Wonka,invalid@,,not_a_date,NaT,Partner,Trade Show,,N/A,True,0,XYZ-00001,,1000000,999999,42,N/A,United States,31,,N/A,100.0,0.06355083826747598,10.0,472,Chicago,,USA
,Soylent,,contact@acme.com,user@,2025-02-03 19:35:42.521838,2024-02-20 19:35:42.523230,Phone Inquiry,Social Media,,N/A,True,False,,001B000002,1000000.00,1000000,Called client,"{""type"": null}",N.A.,32,,,10.0,0.3863532626759115,,59,,IL,
Initech,Globex,Initech,contact@acme.com,missing.com,2025-02-27 19:35:42.521840,2022/12/01,,Trade Show,,0,yes,0,XYZ-00001,12345,,999999,,"{""type"": ""B"", ""value"": 200}",North America,33,,See notes,100.0,,37.0,417,San Francisco,California,United States
Acme Corp,Soylent,Globex,noemail,,,2022/12/01,Phone Inquiry,Email Campaign,Ten Thousand,0,active,0,XYZ-00001,12345,5M,,,"{""type"": ""A"", ""value"": 100}",NA,34,,See notes,50.0,0.9556450791936717,41.0,496,,N.Y.,
,Globex,Wonka,invalid@,,01-01-2020,2025-06-13 19:35:42.523237,Web,Referral,Ten Thousand,,yes,True,001A000001,BAD_ID,"$1,000,000",999999,2025-03-08 19:37:11.167756,,NA,35,,See notes,100.0,0.47174326078995577,32.0,189,San Francisco,California,us
,Acme Corp,Wonka,noemail,help@globex.com,01-01-2020,NaT,Web,Social Media,Ten Thousand,25000,no,1,,12345,5000000,,,,NA,36,,Valid,,,,206,nyc,Illinois,USA
Acme Corp,Umbrella,Globex,noemail,,2024-08-15 19:35:42.521849,,Web,Referral,Ten Thousand,,no,0,,,"1,000,000",1000000,2024-08-08 19:37:11.167760,N/A,US,37,,,10.0,0.6700288593287657,23.0,492,New York,,USA
Initech,Acme Corp,,noemail,missing.com,,2022/12/01,,Email Campaign,50000,25000,False,True,001A000001,BAD_ID,2.5M,999999,Called client,N/A,North America,38,,N/A,,0.23406638238862965,24.0,377,Chicago,California,us
,Globex,Initech,noemail,missing.com,,,,,,Fifty Thousand,True,,XYZ-00001,BAD_ID,"1,000,000",999999,42,"{""type"": ""B"", ""value"": 200}",United States,39,,See notes,75.0,,16.0,93,San Francisco,IL,United States
Globex,Soylent,Globex,,user@,2024-08-12 19:35:42.521856,2022/12/01,Phone Inquiry,Referral,,25000,False,True,,12345,2.5M,,2024-05-05,"{""type"": null}",United States,40,,,10.0,0.7763934874579811,,429,,,United States
Globex,Acme Corp,Globex,invalid@,missing.com,2025-07-08 19:35:42.521858,,Partner,Email Campaign,,25000,True,,001A000001,001B000002,one million,1000000,2025-06-30 19:37:11.167770,"{""type"": ""B"", ""value"": 200}",,41,,N/A,75.0,0.6687049635174467,1.0,339,,California,us
,Soylent,Globex,invalid@,missing.com,01-01-2020,NaT,,Social Media,1000,0,active,True,XYZ-00001,,1000000.00,1000000,,N/A,United States,42,,Valid,75.0,,48.0,94,New York,CA,us
Globex,Soylent,Wonka,contact@acme.com,user@,01-01-2020,NaT,,Trade Show,Ten Thousand,,True,,001A000001,001B000002,N/A,,2024-09-08 19:37:11.167774,,N.A.,43,,,10.0,0.4628525173381721,45.0,398,nyc,,us
,Acme Corp,Globex,invalid@,missing.com,01-01-2020,2023-06-06 19:35:42.523258,Web,Email Campaign,Ten Thousand,N/A,yes,1,,,N/A,1000000,42,N/A,North America,44,,N/A,100.0,0.4949605282666564,,450,,California,
,Globex,Initech,invalid@,,not_a_date,,,Social Media,50000,25000,yes,1,001A000001,,Not Available,999999,Called client,N/A,,45,,,10.0,,5.0,278,San Francisco,N.Y.,USA
Globex,,,noemail,help@globex.com,,NaT,,,Ten Thousand,Fifty Thousand,active,0,XYZ-00001,BAD_ID,2500000,999999,Called client,"{""type"": ""A"", ""value"": 100}",US,46,,N/A,75.0,0.6484756106425171,20.0,222,,NY,us
,Globex,Initech,contact@acme.com,missing.com,not_a_date,NaT,Web,,1000,N/A,True,1,XYZ-00001,12345,100000,1000000,Called client,"{""type"": ""A"", ""value"": 100}",,47,,See notes,50.0,0.28137458857362097,19.0,452,chicago,Illinois,us
Initech,Globex,Wonka,contact@acme.com,help@globex.com,01-01-2020,NaT,Partner,Social Media,Ten Thousand,,True,False,001A000001,12345,"$5,000,000",999999,2024-05-05,"{""type"": null}",US,48,,,25.0,,,376,chicago,CA,United States
Globex,Soylent,Wonka,,,,2022/12/01,,Trade Show,,,False,True,XYZ-00001,12345,,999999,Called client,,NA,49,,,50.0,0.6822469688621764,50.0,332,nyc,Illinois,USA
,Acme Corp,,invalid@,missing.com,not_a_date,2023-08-08 19:35:42.523270,,Email Campaign,50000,N/A,,1,001A000001,,100000,1000000,,"{""type"": ""A"", ""value"": 100}",NA,50,,N/A,75.0,0.6373603910717661,1.0,465,New York,,us
Globex,,Globex,invalid@,missing.com,01-01-2020,,,,1000,25000,no,1,abc123,12345,1000K,,2024-05-05,"{""type"": ""A"", ""value"": 100}",N.A.,51,,Valid,50.0,,13.0,110,,California,U.S.
Acme Corp,Globex,Initech,noemail,user@,not_a_date,2022/12/01,,Referral,,0,,0,abc123,12345,"$1,000,000",1000000,2025-06-06 19:37:11.167794,,United States,52,,Valid,50.0,0.9779479099618631,,74,chicago,California,us
Acme Corp,Acme Corp,,noemail,,not_a_date,NaT,Web,Trade Show,50000,0,False,True,abc123,001C000003,,1000000,2025-05-08 19:37:11.167797,"{""type"": ""A"", ""value"": 100}",NA,53,,Valid,50.0,0.2280773663571758,13.0,218,Chicago,N.Y.,United States
,Globex,,invalid@,help@globex.com,01-01-2020,NaT,Phone Inquiry,Social Media,,25000,active,,XYZ-00001,,2.5M,1000000,42,"{""type"": null}",United States,54,,,100.0,,38.0,263,nyc,NY,U.S.
,Umbrella,Initech,noemail,missing.com,2025-05-30 19:35:42.521889,2023-01-07 19:35:42.523281,,Referral,Ten Thousand,25000,False,,XYZ-00001,,5000000,,42,"{""type"": null}",N.A.,55,,Valid,75.0,0.058181489586986435,24.0,158,,CA,U.S.
Globex,Globex,Initech,,help@globex.com,01-01-2020,2023-07-25 19:35:42.523284,,,50000,Fifty Thousand,yes,1,,,Not Available,,42,,N.A.,56,,N/A,10.0,0.2425164915580693,,457,New York,N.Y.,U.S.
Initech,Acme Corp,Globex,contact@acme.com,,01-01-2020,NaT,Phone Inquiry,,,0,True,False,XYZ-00001,12345,5M,999999,42,N/A,N.A.,57,,See notes,50.0,,15.0,177,,IL,United States
,,Wonka,invalid@,,01-01-2020,NaT,Web,Social Media,Ten Thousand,N/A,,1,,001B000002,,1000000,2024-05-05,,,58,,N/A,,0.952599194728411,23.0,350,,IL,
,Soylent,Wonka,contact@acme.com,,01-01-2020,2022/12/01,,Email Campaign,50000,0,,True,001A000001,BAD_ID,Not Available,1000000,,,United States,59,,See notes,25.0,0.386085739561833,6.0,396,chicago,N.Y.,us
Initech,Umbrella,Initech,noemail,missing.com,01-01-2020,,Partner,,50000,25000,True,0,XYZ-00001,001C000003,one million,,Called client,N/A,NA,60,,,25.0,,,491,San Francisco,,United States
Acme Corp,Soylent,Initech,invalid@,help@globex.com,not_a_date,NaT,,Email Campaign,50000,N/A,active,False,abc123,001C000003,"1,000,000",1000000,2024-09-28 19:37:11.167814,"{""type"": null}",United States,61,,,75.0,0.6321827972863433,41.0,18,nyc,IL,
Initech,Soylent,Initech,noemail,missing.com,01-01-2020,2024-04-29 19:35:42.523306,Web,,50000,N/A,False,,001A000001,,"$1,000,000",1000000,42,"{""type"": ""A"", ""value"": 100}",North America,62,,See notes,10.0,0.02547728277463457,45.0,477,,IL,United States
,Soylent,Globex,,,01-01-2020,2022/12/01,Web,,,,False,True,,001C000003,one million,1000000,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,63,,See notes,10.0,,29.0,416,San Francisco,Illinois,U.S.
,Umbrella,Globex,noemail,user@,,,Partner,Referral,1000,Fifty Thousand,no,1,,,,1000000,,"{""type"": ""B"", ""value"": 200}",NA,64,,See notes,100.0,0.1563102858949157,,357,nyc,N.Y.,us
Globex,Umbrella,Wonka,noemail,help@globex.com,not_a_date,NaT,Phone Inquiry,Email Campaign,50000,25000,True,1,001A000001,001C000003,5000000,,42,"{""type"": ""B"", ""value"": 200}",United States,65,,See notes,100.0,0.8420958705773769,39.0,361,San Francisco,California,USA
,,,noemail,user@,2024-10-03 19:35:42.521913,2022/12/01,,Referral,Ten Thousand,0,no,False,abc123,12345,one million,,Called client,N/A,N.A.,66,,Valid,50.0,,16.0,150,San Francisco,IL,United States
,Globex,Globex,contact@acme.com,,,2024-09-21 19:35:42.523323,Web,Trade Show,Ten Thousand,25000,,True,XYZ-00001,BAD_ID,1000000,999999,42,"{""type"": null}",,67,,Valid,10.0,0.4456232194336468,21.0,112,San Francisco,Illinois,us
,Globex,Globex,noemail,help@globex.com,not_a_date,NaT,Partner,Referral,1000,Fifty Thousand,True,0,,001C000003,"$1,000,000",1000000,Called client,"{""type"": null}",United States,68,,N/A,25.0,0.4584850706768534,,201,New York,California,us
Globex,Soylent,,,help@globex.com,2025-03-04 19:35:42.521920,,Partner,Trade Show,50000,N/A,yes,1,XYZ-00001,001C000003,2500000,1000000,2024-08-26 19:37:11.167832,"{""type"": ""B"", ""value"": 200}",North America,69,,,25.0,,18.0,155,nyc,California,U.S.
Acme Corp,Umbrella,,noemail,,,2022/12/01,,,1000,,False,,,001B000002,two million five hundred thousand,1000000,Called client,N/A,US,70,,,75.0,0.7348385582247391,40.0,62,,,U.S.
Acme Corp,Globex,,noemail,,01-01-2020,,Web,Trade Show,Ten Thousand,,True,,XYZ-00001,12345,"1,000,000",,2025-05-25 19:37:11.167837,"{""type"": null}",N.A.,71,,Valid,,0.48816740305357276,6.0,331,,NY,
Initech,Globex,Initech,contact@acme.com,,01-01-2020,,Partner,,50000,25000,False,False,abc123,BAD_ID,One Million,1000000,2025-03-16 19:37:11.167839,"{""type"": null}",US,72,,Valid,,,,490,,IL,us
Initech,Umbrella,,noemail,missing.com,not_a_date,2022/12/01,,Trade Show,1000,,no,,abc123,001B000002,2500000,1000000,2024-10-21 19:37:11.167841,"{""type"": null}",US,73,,,50.0,0.4178113686510603,14.0,352,Chicago,Illinois,United States
Globex,Umbrella,Wonka,noemail,,not_a_date,2022/12/01,Partner,,,,active,False,abc123,001B000002,"$1,000,000",,2024-11-30 19:37:11.167843,"{""type"": ""B"", ""value"": 200}",N.A.,74,,,10.0,0.10774710169812418,0.0,66,nyc,N.Y.,USA
Acme Corp,Globex,,contact@acme.com,missing.com,not_a_date,NaT,Partner,Social Media,Ten Thousand,0,active,1,,001B000002,"$1,000,000",1000000,2025-03-02 19:37:11.167845,"{""type"": ""A"", ""value"": 100}",United States,75,,,,,40.0,71,,CA,U.S.
Acme Corp,Soylent,,contact@acme.com,user@,not_a_date,2024-10-07 19:35:42.523343,Phone Inquiry,Social Media,,Fifty Thousand,no,True,XYZ-00001,001B000002,N/A,1000000,2024-05-05,,US,76,,Valid,25.0,0.1581067546016386,,113,New York,NY,
Acme Corp,,Globex,contact@acme.com,missing.com,2024-10-13 19:35:42.521938,2022/12/01,Phone Inquiry,Social Media,,,False,False,XYZ-00001,001B000002,2.5M,999999,2024-05-05,"{""type"": null}",NA,77,,N/A,75.0,0.9994752009623408,0.0,394,Chicago,California,U.S.
,Soylent,,noemail,missing.com,2024-09-27 19:35:42.521940,,,Social Media,Ten Thousand,25000,True,0,,,,999999,2024-05-05,"{""type"": ""A"", ""value"": 100}",N.A.,78,,N/A,50.0,,2.0,378,New York,California,
,Acme Corp,Globex,,help@globex.com,not_a_date,NaT,,Email Campaign,50000,N/A,True,False,,12345,1M,1000000,,"{""type"": ""B"", ""value"": 200}",NA,79,,See notes,75.0,0.11380277115819482,46.0,145,nyc,Illinois,United States
Globex,,Globex,noemail,missing.com,2025-07-25 19:35:42.521945,2022/12/01,Partner,Email Campaign,50000,0,True,1,,12345,5000000,999999,,"{""type"": ""A"", ""value"": 100}",,80,,Valid,10.0,0.29150076445527584,,10,,N.Y.,U.S.
,,,contact@acme.com,user@,2024-11-01 19:35:42.521947,2024-07-10 19:35:42.523355,Partner,Trade Show,50000,N/A,no,0,,BAD_ID,,999999,42,"{""type"": ""B"", ""value"": 200}",US,81,,,100.0,,41.0,223,,California,us
,,Wonka,invalid@,,01-01-2020,,,Email Campaign,1000,25000,no,False,,BAD_ID,1000000.00,1000000,2024-05-05,"{""type"": ""A"", ""value"": 100}",NA,82,,,25.0,0.039666504786579626,19.0,18,New York,CA,U.S.
Acme Corp,Globex,Globex,noemail,help@globex.com,01-01-2020,,Web,Social Media,50000,Fifty Thousand,no,1,001A000001,BAD_ID,5M,999999,2024-05-05,N/A,,83,,See notes,,0.7382787974625982,25.0,252,nyc,CA,
Acme Corp,Acme Corp,,invalid@,user@,01-01-2020,NaT,Partner,Social Media,1000,Fifty Thousand,active,1,001A000001,,,1000000,Called client,"{""type"": ""A"", ""value"": 100}",North America,84,,Valid,,,,147,New York,California,us
,Acme Corp,Wonka,noemail,user@,01-01-2020,2022/12/01,Partner,Trade Show,1000,,active,True,,001B000002,1M,1000000,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,85,,,25.0,0.5442747828776291,40.0,228,Chicago,CA,us
Acme Corp,,,invalid@,,,2022/12/01,Web,Email Campaign,Ten Thousand,0,True,1,,001B000002,,,Called client,"{""type"": ""B"", ""value"": 200}",United States,86,,N/A,,0.6748143522105087,39.0,15,nyc,NY,us
Globex,Umbrella,Globex,,help@globex.com,01-01-2020,,,,,25000,active,,,,,,,"{""type"": ""A"", ""value"": 100}",United States,87,,,25.0,,1.0,315,chicago,CA,USA
,Globex,Wonka,invalid@,help@globex.com,,2022/12/01,,,50000,N/A,active,,001A000001,001C000003,1M,1000000,Called client,"{""type"": ""A"", ""value"": 100}",N.A.,88,,N/A,100.0,0.48234881554111353,,482,Chicago,California,United States
Acme Corp,Umbrella,Wonka,,help@globex.com,2025-06-07 19:35:42.521964,NaT,,Email Campaign,1000,,True,,,,One Million,1000000,42,N/A,US,89,,,100.0,0.42532705629774736,25.0,204,San Francisco,N.Y.,USA
Initech,Umbrella,Wonka,contact@acme.com,help@globex.com,2025-07-09 19:35:42.521966,2022/12/01,Phone Inquiry,Email Campaign,1000,N/A,False,,001A000001,,5000000,1000000,42,"{""type"": ""A"", ""value"": 100}",N.A.,90,,,100.0,,24.0,353,Chicago,NY,United States
Acme Corp,Globex,Initech,noemail,user@,2025-03-03 19:35:42.521969,NaT,,Referral,50000,25000,active,False,abc123,BAD_ID,1000000.00,1000000,2025-07-18 19:37:11.167881,"{""type"": ""A"", ""value"": 100}",N.A.,91,,,75.0,0.22401072540976308,9.0,244,chicago,N.Y.,USA
,Globex,Wonka,,help@globex.com,,,Partner,Referral,,N/A,,0,XYZ-00001,12345,2500000,1000000,2024-05-05,"{""type"": ""B"", ""value"": 200}",,92,,N/A,100.0,0.8284863300239481,,171,,NY,U.S.
Globex,Soylent,Initech,invalid@,missing.com,01-01-2020,NaT,Phone Inquiry,Trade Show,Ten Thousand,0,active,,,12345,"$1,000,000",999999,42,N/A,,93,,See notes,,,23.0,441,nyc,NY,us
Initech,Umbrella,Globex,invalid@,missing.com,,NaT,,,Ten Thousand,0,False,1,001A000001,001C000003,One Million,,Called client,,North America,94,,See notes,100.0,0.913536702783527,5.0,216,San Francisco,N.Y.,USA
Initech,Globex,Wonka,contact@acme.com,missing.com,01-01-2020,,Partner,Trade Show,1000,Fifty Thousand,yes,True,,BAD_ID,"$5,000,000",1000000,,"{""type"": ""B"", ""value"": 200}",United States,95,,,10.0,0.3783793554943464,28.0,56,,NY,us
,Globex,Globex,contact@acme.com,,,2022/12/01,Web,Trade Show,1000,,,1,,001B000002,One Million,999999,2025-05-27 19:37:11.167892,"{""type"": null}",,96,,Valid,25.0,,,264,New York,California,USA
Acme Corp,Soylent,,invalid@,help@globex.com,not_a_date,NaT,,Social Media,Ten Thousand,N/A,no,False,,001B000002,,1000000,,"{""type"": ""A"", ""value"": 100}",US,97,,,100.0,0.12034751142936728,11.0,162,New York,California,us
,Globex,Initech,contact@acme.com,,01-01-2020,2022/12/01,,Social Media,50000,25000,active,1,abc123,001B000002,5000000,,42,"{""type"": ""A"", ""value"": 100}",NA,98,,See notes,25.0,0.6337940517363004,34.0,242,,Illinois,USA
,Acme Corp,Wonka,invalid@,help@globex.com,01-01-2020,NaT,,Email Campaign,1000,25000,False,,,12345,5M,999999,2024-05-05,,,99,,,50.0,,50.0,58,Chicago,CA,
Acme Corp,,,noemail,help@globex.com,01-01-2020,,,Email Campaign,,,yes,False,001A000001,001C000003,Not Available,1000000,42,N/A,North America,100,,Valid,,0.9778945751021083,,123,,NY,
,Acme Corp,Wonka,noemail,missing.com,not_a_date,2022/12/01,,,1000,Fifty Thousand,no,False,,,"$1,000,000",,2025-03-01 19:37:11.167902,"{""type"": ""B"", ""value"": 200}",NA,101,,,25.0,0.5289187563131367,26.0,225,,,
,Soylent,Wonka,invalid@,,2024-08-08 19:35:42.521997,2024-09-15 19:35:42.523419,,Trade Show,,25000,active,False,,,"$5,000,000",1000000,2024-09-28 19:37:11.167905,"{""type"": null}",North America,102,,See notes,,,31.0,117,New York,IL,
,Soylent,,invalid@,user@,not_a_date,2022/12/01,Partner,Referral,,0,False,False,,001B000002,Not Available,1000000,,"{""type"": ""A"", ""value"": 100}",US,103,,Valid,100.0,0.1597855827863217,38.0,55,,Illinois,United States
,Soylent,,invalid@,user@,01-01-2020,,,Referral,1000,N/A,no,True,abc123,,Not Available,999999,42,,United States,104,,,100.0,0.36592206007243133,,59,,CA,United States
,Acme Corp,Globex,,help@globex.com,,2022/12/01,Web,Social Media,Ten Thousand,0,False,False,,,1000000,1000000,2025-01-19 19:37:11.167911,"{""type"": ""A"", ""value"": 100}",US,105,,See notes,50.0,,30.0,54,nyc,IL,United States
Initech,Umbrella,,contact@acme.com,missing.com,not_a_date,NaT,Phone Inquiry,Trade Show,Ten Thousand,Fifty Thousand,,1,XYZ-00001,12345,One Million,1000000,42,N/A,North America,106,,,10.0,0.14907452906172047,44.0,232,nyc,Illinois,United States
,Globex,Initech,,help@globex.com,01-01-2020,NaT,,Email Campaign,Ten Thousand,N/A,yes,1,XYZ-00001,BAD_ID,5000000,1000000,2024-05-05,"{""type"": null}",United States,107,,,,0.1348027366432364,9.0,217,New York,NY,USA
Initech,,Initech,noemail,user@,not_a_date,2024-01-15 19:35:42.523433,Partner,,50000,N/A,False,True,001A000001,BAD_ID,,,,"{""type"": ""A"", ""value"": 100}",N.A.,108,,,10.0,,,213,San Francisco,,U.S.
Initech,,Globex,invalid@,,2025-04-29 19:35:42.522021,2024-01-01 19:35:42.523436,,Trade Show,Ten Thousand,0,no,,,BAD_ID,"$5,000,000",,,N/A,North America,109,,,75.0,0.12990039099221773,9.0,108,New York,NY,
Initech,Soylent,Wonka,noemail,help@globex.com,01-01-2020,2022/12/01,Phone Inquiry,,Ten Thousand,Fifty Thousand,no,False,,12345,1000000.00,1000000,42,N/A,North America,110,,,75.0,0.7647313502620555,32.0,444,Chicago,California,
,Umbrella,,invalid@,,2025-05-07 19:35:42.522025,NaT,Phone Inquiry,Email Campaign,,Fifty Thousand,no,0,XYZ-00001,,One Million,1000000,42,N/A,N.A.,111,,N/A,75.0,,20.0,491,Chicago,CA,United States
Initech,Umbrella,Initech,noemail,,,2025-05-05 19:35:42.523443,,Social Media,50000,25000,False,True,,001B000002,"$5,000,000",1000000,,N/A,US,112,,,10.0,0.5984720691439855,,496,New York,CA,us
,Globex,Wonka,contact@acme.com,,01-01-2020,2022/12/01,Partner,Social Media,50000,N/A,no,True,001A000001,001B000002,One Million,,,"{""type"": ""A"", ""value"": 100}",North America,113,,Valid,50.0,0.27178625302977955,43.0,403,New York,N.Y.,us
,Umbrella,,noemail,,01-01-2020,2024-12-23 19:35:42.523447,Partner,Social Media,Ten Thousand,25000,no,0,,12345,2.5M,,,"{""type"": null}",US,114,,See notes,10.0,,27.0,478,New York,California,us
